model,launchDate,numCores,numThreads,baseClock,maxboostClock,allCoreBoostSpeed,L1Cache,L2Cache,L3Cache,processTech,PCIeVersion,PCIeLanes,defaultTDP,configTDP,tjMax,sysMemType,sysMemSpecs,memChannels,perSocketMemBW,graphicsCores,graphicsFreq,unlocked,platform,cpuSocket,socketCount,family,line,graphicsModel,thermalSolution
AMD Ryzen™ 5 6600H,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,45,,95,DDR5,,4,,6,1900,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 660M,
AMD Ryzen™ 5 6600HS​,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,35,,95,DDR5,,4,,6,1900,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 660M,
AMD Ryzen™ 5 6600U,2022,6,12,2.9,4.5,,384,3,16,6,4.0,,15,15-28,95,DDR5,,4,,6,1900,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 660M,
AMD Ryzen™ 5 PRO 6650H,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,45,,95,DDR5,,4,,6,1900,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 6000 Series Mobile Processors,AMD Radeon™ 660M,
AMD Ryzen™ 5 PRO 6650HS,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,35,,95,DDR5,,4,,6,1900,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 6000 Series Mobile Processors,AMD Radeon™ 660M,
AMD Ryzen™ 5 PRO 6650U,2022,6,12,2.9,4.5,,384,3,16,6,4.0,,15,15-28,95,DDR5,,4,,6,1900,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 6000 Series Mobile Processors,AMD Radeon™ 660M,
AMD Ryzen™ 7 6800H,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,45,,95,DDR5,,4,,12,2200,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 7 6800HS,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,35,,95,DDR5,,4,,12,2200,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 7 6800U​,2022,8,16,2.7,4.7,,512,4,16,6,4.0,,15,15-28,95,DDR5,,4,,12,2200,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 7 PRO 6850H,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,45,,95,DDR5,,4,,12,2200,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 7 PRO 6850HS,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,35,,95,DDR5,,4,,12,2200,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 7 PRO 6850U,2022,8,16,2.7,4.7,,512,4,16,6,4.0,,15,15-28,95,DDR5,,4,,12,2200,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 9 6900HS​,2022,8,16,3.3,4.9,,512,4,16,6,4.0,,35,,95,DDR5,,4,,12,2400,No,Laptop,,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 9 6900HX,2022,8,16,3.3,4.9,,512,4,16,6,4.0,,45,,95,DDR5,,4,,12,2400,Yes,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 9 6980HS,2022,8,16,3.3,5,,512,4,16,6,4.0,,35,,95,DDR5,,4,,12,2400,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 9 6980HX,2022,8,16,3.3,5,,512,4,16,6,4.0,,45,,95,DDR5,,4,,12,2400,Yes,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 9 PRO 6950H,2022,8,16,3.3,4.9,,384,4,16,6,4.0,,45,,95,DDR5,,4,,12,2400,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 9 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 9 PRO 6950HS,2022,8,16,3.3,4.9,,512,4,16,6,4.0,,35,,94.99,DDR5,,4,,12,2400,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 9 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 3 PRO 5350G,2021,4,8,4,4.2,,,2,8,7,3.0,,65,,95,DDR4,3200,2,,6,1700,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO 5000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 3 PRO 5350GE,2021,4,8,3.6,4.2,,,2,8,7,3.0,,35,,95,DDR4,3200,2,,6,1700,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO 5000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 5 PRO 5650G,2021,6,12,3.9,4.4,,,3,16,7,3.0,,65,,95,DDR4,3200,2,,7,1900,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 5000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 5 PRO 5650GE,2021,6,12,3.4,4.4,,,3,16,7,3.0,,35,,95,DDR4,3200,2,,7,1900,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 5000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 7 PRO 5750G,2021,8,16,3.8,4.6,,,4,16,7,3.0,,65,,95,DDR4,3200,2,,8,2000,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 5000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 7 PRO 5750GE,2021,8,16,3.2,4.6,,,4,16,7,3.0,,35,,95,DDR4,3200,2,,8,2000,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 5000 Series Desktop Processors,Radeon™  Graphics,
AMD 3015Ce,2021,2,4,1.2,2.3,,,1,4,14,3.0,,6,,105,DDR4,1600,1,,3,600,No,Laptop,FT5,,AMD,AMD 3000 Series Mobile Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 3 5300G (OEM Only),2021,4,8,4,4.2,,,2,8,7,3.0,,65,45-65,95,DDR4,3200,2,,6,1700,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 5000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 3 5300GE (OEM Only),2021,4,8,3.6,4.2,,,2,8,7,3.0,,35,,95,DDR4,3200,2,,6,1700,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 5000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 5 4680U Microsoft Surface® Edition,2021,6,12,2.2,4,,384,3,8,7,3.0,,15,10-25,105,LPDDR4,4266,2,,7,1500,No,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics Microsoft Surface® Edition,Radeon™  Graphics,
AMD Ryzen™ 5 5560U,2021,6,12,2.3,4,,384,3,8,7,3.0,,15,10-25,105,LPDDR4,4266,2,,7,1600,No,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 5 5600G,2021,6,12,3.9,4.4,,,3,16,7,3.0,,65,45-65,95,DDR4,3200,2,,7,1900,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 5000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,Wraith Stealth
AMD Ryzen™ 5 5600GE,2021,6,12,3.4,4.4,,,3,16,7,3.0,,35,,95,DDR4,3200,2,,7,1900,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 5000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,Wraith Stealth
AMD Ryzen™ 7 4980U Microsoft Surface® Edition,2021,8,16,2,4.4,,512,4,8,7,3.0,,15,10-25,105,LPDDR4,4266,2,,8,1950,No,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics Microsoft Surface® Edition,Radeon™  Graphics,
AMD Ryzen™ 7 5700G,2021,8,16,3.8,4.6,,,4,16,7,3.0,,65,45-65,95,DDR4,3200,2,,8,2000,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 5000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,Wraith Stealth
AMD Ryzen™ 7 5700GE,2021,8,16,3.2,4.6,,,4,16,7,3.0,,35,,95,DDR4,3200,2,,8,2000,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 5000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,Wraith Stealth
AMD Ryzen™ 3 PRO 5450U,2021,4,8,2.6,4,,,2,8,7,3.0,,15,,105,LPDDR4,4266,,,6,1600,No,Laptop,FP6,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO 5000 Series Mobile Processors,AMD Radeon™ Graphics,
AMD Ryzen™ 5 PRO 5650U,2021,6,12,2.3,4.2,,,3,16,7,3.0,,15,,105,LPDDR4,4266,,,7,1800,No,Laptop,FP6,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 5000 Series Mobile Processors,AMD Radeon™ Graphics,
AMD Ryzen™ 7 PRO 5850U,2021,8,16,1.9,4.4,,,4,16,7,3.0,,15,,105,LPDDR4,4266,,,8,2000,No,Laptop,FP6,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 5000 Series Mobile Processors,AMD Radeon™ Graphics,
AMD EPYC™ 72F3,2021,8,16,3.7,4.1,,,,256,,4.0,128,180,165-200,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7313,2021,16,32,3,3.7,,,,128,,4.0,128,155,155-180,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7313P,2021,16,32,3,3.7,,,,128,,4.0,128,155,155-180,,DDR4,3200,8,204.8,,,,Server,SP3,1P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7343,2021,16,32,3.2,3.9,,,,128,,4.0,128,190,165-200,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 73F3,2021,16,32,3.5,4,,,,256,,4.0,128,240,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7413,2021,24,48,2.65,3.6,,,,128,,4.0,128,180,165-200,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7443,2021,24,48,2.85,4,,,,128,,4.0,128,200,165-200,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7443P,2021,24,48,2.85,4,,,,128,,4.0,128,200,165-200,,DDR4,3200,8,204.8,,,,Server,SP3,1P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7453,2021,28,56,2.75,3.45,,,,64,,4.0,128,225,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 74F3,2021,24,48,3.2,4,,,,256,,4.0,128,240,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7513,2021,32,64,2.6,3.65,,,,128,,4.0,128,200,165-200,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7543,2021,32,64,2.8,3.7,,,,256,,4.0,128,225,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7543P,2021,32,64,2.8,3.7,,,,256,,4.0,128,225,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 75F3,2021,32,64,2.95,4,,,,256,,4.0,128,280,225-280,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7643,2021,48,96,2.3,3.6,,,,256,,4.0,128,225,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7663,2021,56,112,2,3.5,,,,256,,4.0,128,240,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7713,2021,64,128,2,3.675,,,,256,,4.0,128,225,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7713P,2021,64,128,2,3.675,,,,256,,4.0,128,225,225-240,,DDR4,3200,8,204.8,,,,Server,SP3,1P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD EPYC™ 7763,2021,64,128,2.45,3.5,,,,256,,4.0,128,280,225-280,,DDR4,3200,8,204.8,,,,Server,SP3,1P/2P,AMD EPYC™,AMD EPYC™ 7003 Series,,
AMD Ryzen™ 3 5300U,2021,4,8,2.6,3.8,,,2,4,7,3.0,,15,10-25,105,LPDDR4,4266,,,6,1500,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 3 5400U,2021,4,8,2.6,4,,,2,8,7,3.0,,15,10-25,105,LPDDR4,4266,,,6,1600,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 5500U,2021,6,12,2.1,4,,,3,8,7,3.0,,15,10-25,105,LPDDR4,4266,,,7,1800,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 5600H,2021,6,12,3.3,4.2,,,3,16,7,3.0,,45,35-54,105,LPDDR4,4266,,,7,1800,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 5600HS,2021,6,12,3,4.2,,,3,16,7,3.0,,35,,105,LPDDR4,4266,,,7,1800,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 5600U,2021,6,12,2.3,4.2,,,3,16,7,3.0,,15,10-25,105,LPDDR4,4266,,,7,1800,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 5700U,2021,8,16,1.8,4.3,,,4,8,7,3.0,,15,10-25,105,LPDDR4,4266,,,8,1900,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 5800 (OEM Only),2021,8,16,3.4,4.6,,,4,32,7,4.0,,65,,95,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,,
AMD Ryzen™ 7 5800H,2021,8,16,3.2,4.4,,,4,16,7,3.0,,45,35-54,105,LPDDR4,4266,,,8,2000,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 5800HS,2021,8,16,2.8,4.4,,,4,16,7,3.0,,35,,105,LPDDR4,4266,,,8,2000,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 5800U,2021,8,16,1.9,4.4,,,4,16,7,3.0,,15,10-25,105,LPDDR4,4266,,,8,2000,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 9 5900 (OEM Only),2021,12,24,3,4.7,,,6,64,7,4.0,,65,,95,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,
AMD Ryzen™ 9 5900HS,2021,8,16,3,4.6,,8,4,16,7,3.0,,35,,105,LPDDR4,4266,,,,2100,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 9 5900HX,2021,8,16,3.3,4.6,,,4,16,7,3.0,,54,35-54,105,LPDDR4,4266,,,8,2100,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 9 5980HS,2021,8,16,3,4.8,,,4,16,7,3.0,,35,,105,LPDDR4,4266,,,8,2100,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 9 5980HX,2021,8,16,3.3,4.8,,,4,16,7,3.0,,54,35-54,105,LPDDR4,4266,,,8,2100,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Athlon™ PRO 3045B,2021,2,2,2.3,3.2,,,1,4,14,3.0,,15,12-25,100,DDR4,2400,2,,2,1100,,Laptop,FP5,,AMD Athlon™ PRO Processors,AMD Athlon™ PRO Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Athlon™ PRO 3145B,2021,2,4,2.4,3.3,,,1,4,14,3.0,,15,12-25,100,DDR4,2400,2,,3,1000,,Laptop,FP5,,AMD Athlon™ PRO Processors,AMD Athlon™ PRO Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 5600X,2020,6,12,3.7,4.6,,,3,32,7,4.0,,65,,95,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,,Wraith Stealth
AMD Ryzen™ 7 5800X,2020,8,16,3.8,4.7,,,4,32,7,4.0,,105,,90,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,,
AMD Ryzen™ 9 5900X,2020,12,24,3.7,4.8,,,6,64,7,4.0,,105,,90,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,
AMD Ryzen™ 9 5950X,2020,16,32,3.4,4.9,,,8,64,7,4.0,,105,,90,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,
AMD Athlon™  Silver 3050C,2020,2,2,2.3,3.2,,192,1,4,14,,,15,12-25,95,,,,,2,1100,No,Laptop,FP5,,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Athlon™ Gold 3150C,2020,2,4,2.4,3.3,,192,1,4,14,,,15,12-25,95,,,,,3,1100,No,Laptop,FP5,,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 3 3250C,2020,2,4,2.6,3.5,,192,1,4,14,,,15,12-25,105,,,,,3,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 3500C,2020,4,8,2.1,3.7,,384,2,4,12,,,15,12-25,105,,,,,8,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 3700C,2020,4,8,2.3,4,,384,2,4,12,,,15,12-25,105,,,,,10,1400,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Athlon™ Gold 3150G (OEM Only),2020,4,4,3.5,3.9,,384,2,4,12,3.0,,65,45-65,95,DDR4,2933,2,,3,1100,Yes,Desktop,AM4,,AMD Athlon™ Processors,AMD Athlon™ 3000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Athlon™ Gold 3150GE (OEM Only),2020,4,4,3.3,3.8,,384,2,4,12,3.0,,35,,95,DDR4,2933,2,,3,1100,Yes,Desktop,AM4,,AMD Athlon™ Processors,AMD Athlon™ 3000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Athlon™ Gold PRO 3150G,2020,4,4,3.5,3.9,,384,2,4,12,3.0,,65,45-65,95,DDR4,2933,2,,3,1100,No,Desktop,AM4,,AMD Athlon™ PRO Processors,AMD Athlon™ PRO 3000 Series Desktop Processors,Radeon™  Graphics,
AMD Athlon™ Gold PRO 3150GE,2020,4,4,3.3,3.8,,384,2,4,12,3.0,,35,,95,DDR4,2933,2,,3,1100,No,Desktop,AM4,,AMD Athlon™ PRO Processors,AMD Athlon™ PRO 3000 Series Desktop Processors,Radeon™  Graphics,
