model,launchDate,numCores,numThreads,baseClock,maxboostClock,allCoreBoostSpeed,L1Cache,L2Cache,L3Cache,processTech,PCIeVersion,PCIeLanes,defaultTDP,configTDP,tjMax,sysMemType,sysMemSpecs,memChannels,perSocketMemBW,graphicsCores,graphicsFreq,unlocked,platform,cpuSocket,socketCount,family,line,graphicsModel,thermalSolution
AMD Athlon™ Silver 3050GE (OEM Only),2020,2,4,3.4,3.4,,192,1,4,14,3.0,,35,,95,DDR4,2666,2,,3,1100,Yes,Desktop,AM4,,AMD Athlon™ Processors,AMD Athlon™ 3000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Athlon™ Silver PRO 3125GE,2020,2,4,3.4,3.4,,192,1,4,12,3.0,,35,,95,DDR4,2666,2,,3,1100,No,Desktop,AM4,,AMD Athlon™ PRO Processors,AMD Athlon™ PRO 3000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 3 4300G (OEM Only),2020,4,8,3.8,4,,256,2,4,7,3.0,,65,45-65,95,DDR4,3200,2,,6,1700,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 4000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 3 4300GE (OEM Only),2020,4,8,3.5,4,,256,2,4,7,3.0,,35,,95,DDR4,3200,2,,6,1700,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 4000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 3 PRO 4350G,2020,4,8,3.8,4,,256,2,4,7,3.0,,65,45-65,95,DDR4,3200,2,,6,1700,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO 4000 Series Desktop Processors,Radeon™ Graphics,
AMD Ryzen™ 3 PRO 4350GE,2020,4,8,3.5,4,,256,2,4,7,3.0,,35,,95,DDR4,3200,2,,6,1700,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO 4000 Series Desktop Processors,Radeon™ Graphics,
AMD Ryzen™ 5 4600G,2020,6,12,3.7,4.2,,384,3,8,7,3.0,,65,45-65,95,DDR4,3200,2,,7,1900,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 4000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 5 4600GE (OEM Only),2020,6,12,3.3,4.2,,384,3,8,7,3.0,,35,,95,DDR4,3200,2,,7,1900,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 4000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 5 PRO 3350G,2020,4,8,3.6,4,,384,2,4,12,3.0,,65,45-65,95,DDR4,2933,2,,10,1300,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 3000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 5 PRO 3350GE,2020,4,4,3.3,3.9,,384,2,4,12,3.0,,35,,95,DDR4,2933,2,,10,1200,No,Desktop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 3000 Series Desktop Processors,Radeon™  Graphics,
AMD Ryzen™ 5 PRO 4650G,2020,6,12,3.7,4.2,,384,3,8,7,3.0,,65,45-65,95,DDR4,3200,2,,7,1900,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 4000 Series Desktop Processors,Radeon™ Graphics,
AMD Ryzen™ 5 PRO 4650GE,2020,6,12,3.3,4.2,,384,3,8,7,3.0,,35,,95,DDR4,3200,2,,7,1900,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 4000 Series Desktop Processors,Radeon™ Graphics,
AMD Ryzen™ 7 4700G (OEM Only),2020,8,16,3.6,4.4,,512,4,8,7,3.0,,65,45-65,95,DDR4,3200,2,,8,2100,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 4000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™ Graphics,
AMD Ryzen™ 7 4700GE (OEM Only),2020,8,16,3.1,4.3,,512,4,8,7,3.0,,35,,95,DDR4,3200,2,,8,2000,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 4000 G-Series Desktop Processors with Radeon™ Graphics,Radeon™  Graphics,
AMD Ryzen™ 7 PRO 4750G,2020,8,16,3.6,4.4,,512,4,8,7,3.0,,65,45-65,95,DDR4,3200,2,,8,2100,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 4000 Series Desktop Processors,Radeon™ Graphics,
AMD Ryzen™ 7 PRO 4750GE,2020,8,16,3.1,4.3,,512,4,8,7,3.0,,35,,95,DDR4,3200,2,,8,2100,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 4000 Series Desktop Processors,Radeon™ Graphics,
AMD Ryzen™ Threadripper™ PRO 3945WX,2020,12,24,4,4.3,,768,6,64,7,4.0,,280,,90,DDR4,3200,8,,,,No,Desktop,,1P,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,,
AMD Ryzen™ Threadripper™ PRO 3955WX,2020,16,32,3.9,4.3,,1024,8,64,7,4.0,,280,,90,DDR4,3200,8,,,,No,Desktop,sWRX8,1P,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,,
AMD Ryzen™ Threadripper™ PRO 3975WX,2020,32,64,3.5,4.2,,2048,16,128,7,4.0,,280,,90,DDR4,3200,8,,,,No,Desktop,sWRX8,1P,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,,
AMD Ryzen™ Threadripper™ PRO 3995WX,2020,64,128,2.7,4.2,,4096,32,256,7,4.0,,280,,90,DDR4,3200,8,,,,No,Desktop,sWRX8,1P,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,,
AMD Ryzen™ 9 4900HS,2020,8,16,3,4.3,,,4,8,7,3.0,,35,,105,LPDDR4,4266,,,8,1750,No,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 4800HS,2020,8,16,2.9,4.2,,,4,8,7,3.0,,45,35-54,105,LPDDR4,4266,,,7,1600,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD 3015e,2020,2,4,1.2,2.3,,,1,4,14,3.0,,6,,105,DDR4,1600,1,,3,600,No,Laptop,FT5,,AMD,AMD 3000 Series Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 3600XT,2020,6,12,3.8,4.5,,,3,32,7,4.0,,95,,95,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,,Wraith Spire
AMD Ryzen™ 7 3800XT,2020,8,16,3.9,4.7,,,4,32,7,4.0,,105,,95,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,,
AMD Ryzen™ 9 3900XT,2020,12,24,3.8,4.7,,,6,64,7,4.0,,105,,95,DDR4,3200,,,,,Yes,Desktop,,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,
AMD Ryzen™ 3 PRO 4450U,2020,4,8,2.5,3.7,,,2,4,7,3.0,,15,,105,LPDDR4,4266,,,5,1400,No,Laptop,FP6,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO 4000 Series Mobile Processors,AMD Radeon™ Graphics,
AMD Ryzen™ 5 PRO 4650U,2020,6,12,2.1,4,,,3,8,7,3.0,,15,,105,LPDDR4,4266,,,6,1500,No,Laptop,FP6,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 4000 Series Mobile Processors,AMD Radeon™ Graphics,
AMD Ryzen™ 7 PRO 4750U,2020,8,16,1.7,4.1,,,4,8,7,3.0,,15,,105,LPDDR4,4266,,,7,1600,No,Laptop,FP6,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 4000 Series Mobile Processors,AMD Radeon™ Graphics,
AMD Ryzen™ 3 3100,2020,4,8,3.6,3.9,,256,2,16,7,4.0,,65,,,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,,Wraith Stealth
AMD Ryzen™ 3 3300X,2020,4,8,3.8,4.3,,256,2,16,7,4.0,,65,,,DDR4,3200,,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,,Wraith Stealth
AMD Ryzen™ 9 4900H,2020,8,16,3.3,4.4,,,4,8,7,3.0,,54,,105,LPDDR4,4266,,,8,1750,No,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 3450U,2020,4,8,2.1,3.5,,384,2,4,12,3.0,,15,12-35,105,,2400,2,,,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD 3020e,2020,2,2,1.2,2.6,,,1,4,14,3.0,,6,,,DDR4,2400,2,,3,1000,,Laptop,,,AMD,AMD 3000 Series Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Athlon™ Gold 3150U,2020,2,4,2.4,3.3,,192,1,4,14,,,15,12-25,95,DDR4,2400,2,,3,1000,,Laptop,FP5,,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Athlon™ Silver 3050e,2020,2,4,1.4,2.8,,,1,4,14,3.0,,6,,,DDR4,2400,2,,3,1000,,Laptop,,,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Athlon™ Silver 3050U,2020,2,2,2.3,3.2,,192,1,4,14,3.0,,15,12-25,95,DDR4,2400,2,,2,1100,,Laptop,FP5,,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 3 3250U,2020,2,4,2.6,3.5,,192,1,4,14,3.0,,15,12-25,95,DDR4,2400,2,,3,1200,,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 3 4300U,2020,4,4,2.7,3.7,,,2,4,7,3.0,,15,10-25,105,LPDDR4,4266,,,5,1400,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 4500U,2020,6,6,2.3,4,,,3,8,7,3.0,,15,10-25,105,LPDDR4,4266,,,6,1500,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 4600H,2020,6,12,3,4,,,3,8,7,3.0,,45,35-54,105,LPDDR4,4266,,,6,1500,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 5 4600U,2020,6,12,2.1,4,,,3,8,7,3.0,,15,10-25,105,LPDDR4,4266,,,6,1500,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 4700U,2020,8,8,2,4.1,,,4,8,7,3.0,,15,10-25,105,LPDDR4,4266,,,7,1600,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 4800H,2020,8,16,2.9,4.2,,,4,8,7,3.0,,45,35-54,105,LPDDR4,4266,,,7,1600,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
AMD Ryzen™ 7 4800U,2020,8,16,1.8,4.2,,,4,8,7,3.0,,15,10-25,105,LPDDR4,4266,,,8,1750,,Laptop,FP6,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ Graphics,
7th Gen AMD PRO A4-5350B APU,2020,2,,3,3.6,,,1,,28,3.0,,15,10-15,90,DDR4,2133,1,,3,847,No,Laptop,,,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Laptops,AMD Radeon™ R5 Graphics,
7th Gen AMD PRO A6-8350B APU,2020,2,,3.1,3.7,,,1,,28,3.0,,15,10-15,90,DDR4,2133,1,,3,900,No,Laptop,,,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,AMD Radeon™ R5 Graphics,
AMD Ryzen™ Threadripper™ 3960X,2019,24,48,3.8,4.5,,1536,12,128,7,4.0,,280,,95,DDR4,3200,4,,,,Yes,Desktop,sTRX4,,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,,
AMD Ryzen™ Threadripper™ 3970X,2019,32,64,3.7,4.5,,2048,16,128,7,4.0,,280,,95,DDR4,3200,4,,,,Yes,Desktop,sTRX4,,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,,
AMD Athlon™ PRO 300GE,2019,2,4,3.4,,,192,1,4,12,3.0,,35,,95,DDR4,2666,2,,3,1100,No,Desktop,AM4,,AMD Athlon™ PRO Processors,AMD Athlon™ PRO Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 3 Graphics,
AMD Ryzen™ 3 PRO 3200G,2019,4,4,3.6,4,,384,2,4,12,3.0,,65,45-65,95,DDR4,2933,2,,8,1250,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD Ryzen™ 3 PRO 3200GE,2019,4,4,3.3,3.8,,384,2,4,12,3.0,,35,,95,DDR4,2933,2,,8,1200,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD Ryzen™ 5 PRO 3400G,2019,4,8,3.7,4.2,,384,2,4,12,3.0,,65,45-65,95,DDR4,2933,2,,11,1400,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 11 Graphics,
AMD Ryzen™ 5 PRO 3400GE,2019,4,8,3.3,4,,384,2,4,12,3.0,,35,,95,DDR4,2933,2,,11,1300,No,Desktop,AM4,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 11 Graphics,
AMD Ryzen™ 5 PRO 3600,2019,6,12,3.6,4.2,,384,3,32,7,4.0,,65,,95,DDR4,3200,2,,,,No,Desktop,AM4,1P,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors,,
AMD Ryzen™ 7 PRO 3700,2019,8,16,3.6,4.4,,512,4,32,7,4.0,,65,,95,DDR4,3200,2,,,,No,Desktop,AM4,1P,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO Desktop Processors,,
AMD Ryzen™ 9 PRO 3900,2019,12,24,3.1,4.3,,768,6,64,7,4.0,,65,,95,DDR4,3200,2,,,,No,Desktop,AM4,1P,AMD Ryzen™ PRO Processors,AMD Ryzen™ 9 PRO Desktop Processors,,
AMD Ryzen™ 9 3900,2019,12,24,3.1,4.3,,768,6,64,7,4.0,16,65,,95,DDR4,3200,2,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,
AMD Athlon™ 300GE,2019,2,4,3.4,,,192,1,4,14,3.0,,35,,95,,2666,2,,3,1100,Yes,Desktop,AM4,,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 3 Graphics,
AMD Athlon™ 320GE,2019,2,4,3.5,,,192,1,4,14,3.0,,35,,95,DDR4,2666,2,,3,1100,Yes,Desktop,AM4,,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 3 Graphics,
AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,2019,4,4,3.6,4,,384,2,4,12,3.0,8,65,45-65,95,DDR4,2933,2,,8,1250,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,Wraith Stealth
AMD Ryzen™ 3 3200GE (OEM Only),2019,4,4,3.3,3.8,,384,2,4,12,3.0,,35,,95,,2933,2,,8,1200,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD Ryzen™ 5 3400GE (OEM Only),2019,4,8,3.3,4,,384,2,4,12,3.0,,35,,95,,2933,2,,11,1300,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Radeon™ Vega 11 Graphics,
AMD Ryzen™ 5 3600,2019,6,12,3.6,4.2,,384,3,32,7,4.0,16,65,,95,DDR4,3200,2,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,,Wraith Stealth
AMD Ryzen™ 5 3600X,2019,6,12,3.8,4.4,,384,3,32,7,4.0,16,95,,95,DDR4,3200,2,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,,Wraith Spire
AMD Ryzen™ 7 3700X,2019,8,16,3.6,4.4,,512,4,32,7,4.0,16,65,,95,DDR4,3200,2,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,,Wraith Prism
AMD Ryzen™ 7 3800X,2019,8,16,3.9,4.5,,512,4,32,7,4.0,16,105,,95,DDR4,3200,2,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,,Wraith Prism
AMD Ryzen™ 9 3900X,2019,12,24,3.8,4.6,,768,6,64,7,4.0,16,105,,95,DDR4,3200,2,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,Wraith Prism
AMD Ryzen™ 3 PRO 3300U,2019,4,4,2.1,3.5,,384,2,4,12,3.0,,15,12-25,95,,2400,2,,6,1200,No,Laptop,FP5,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 6 Graphics,
AMD Ryzen™ 5 PRO 3500U,2019,4,8,2.1,3.7,,384,2,4,12,3.0,,15,12-25,95,,2400,2,,8,1200,No,Laptop,FP5,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD Ryzen™ 7 PRO 3700U,2019,4,8,2.3,4,,384,2,4,12,3.0,,15,12-25,95,,2400,2,,10,1400,No,Laptop,FP5,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 10 Graphics,
AMD Ryzen™ 3 3200U,2019,2,4,2.6,3.5,,192,1,4,14,3.0,,15,12-25,105,,2400,2,,3,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 3 Graphics,
AMD Ryzen™ 3 3300U,2019,4,4,2.1,3.5,,384,2,4,12,3.0,,15,12-35,105,,2400,2,,6,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 6 Graphics,
AMD Ryzen™ 3 3350U,2019,4,4,2.1,3.5,,348,2,4,12,3.0,,15,12-35,105,,2400,2,,6,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 6 Graphics,
AMD Ryzen™ 3 PRO 2300U,2019,4,4,2,3.4,,384,2,4,14,3.0,,15,12-25,95,DDR4,2400,2,,6,1100,No,Laptop,FP5,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 6 Graphics,
AMD Ryzen™ 5 3500U,2019,4,8,2.1,3.7,,384,2,4,12,3.0,,15,12-35,105,,2400,2,,8,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD Ryzen™ 5 3550H,2019,4,8,2.1,3.7,,384,2,4,12,3.0,,35,12-35,105,,2400,2,,8,1200,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD Ryzen™ 5 PRO 2500U,2019,4,8,2,3.6,,384,2,4,14,3.0,,15,12-25,95,DDR4,2400,2,,8,1100,No,Laptop,FP5,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 8 Graphics,
AMD Ryzen™ 7 3700U,2019,4,8,2.3,4,,384,2,4,12,3.0,,15,12-35,105,DDR4,2400,2,,10,1400,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Radeon™ RX Vega 10 Graphics,
AMD Ryzen™ 7 3750H,2019,4,8,2.3,4,,384,2,4,12,3.0,,35,12-35,105,,2400,2,,10,1400,No,Laptop,FP5,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Radeon™ RX Vega 10 Graphics,
AMD Ryzen™ 7 PRO 2700U,2019,4,8,2.2,3.8,,384,2,4,14,3.0,,15,12-25,95,DDR4,2400,2,,10,1300,No,Laptop,FP5,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO Mobile Processors with Radeon™ Vega Graphics,Radeon™ Vega 10 Graphics,
AMD Ryzen™ Threadripper™ 2920X,2018,12,24,3.5,4.3,,1152,6,32,12,3.0,,180,,68,DDR4,2933,4,,,,Yes,Desktop,sTR4,,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,,
AMD Ryzen™ 3 2300X,2018,4,4,3.5,4,,384,2,8,12,3.0,,65,,95,DDR4,2933,2,,,,Yes,Desktop,AM4,,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,,
